years_in_profession,cur_highest_license,cur_licensed_state,cur_licensed_state_type,age_group,gender,highest_education,year_of_first_license,len_of_cur_license_level,is_cur_acute_facility,cur_type_of_facility,cur_type_of_facility_other,cur_acute_unit_group,cur_acute_unit,cur_acute_unit_other,was_nurse_traveler,is_nurse_traveler,annual_range_as_of_2019,cur_annual_range,is_job_change_since_2019,total_jobs_changed,plan_to_change_next_6mo,plan_to_leave_nursing,cur_work_schedule,cur_work_schedule_other,cur_total_hour_work,cur_shift_type,cur_shift_type_other
10,Registered nurse,South Carolina,One,35-44,Female,Master's Degree,2012,1 to 2 years,Yes,Acute care hospital,,Administrative,"Not in direct patient care (i.e. education, research, management/leadership, care management, informatics, etc.)",,No,No,"$66,000 to $75,000","Greater than $105,000",Yes,2,No,No,Full-time,,40,8 hr - day shift,
29,Registered nurse,South Carolina,One,45-54,Female,Master's Degree,1993,11 to 20 years,Yes,Acute care hospital,,Administrative,"Not in direct patient care (i.e. education, research, management/leadership, care management, informatics, etc.)",,No,No,"$86,000 to $95,000","$96,000 to $105,000",No,0,No,No,Full-time,,40 +,Other (please specify),8-10 hrs
10,Registered nurse,CO,One,35-44,Male,Bachelor's Degree,2012,6 to 10 years,Yes,Acute care hospital,,Critical care,Critical care,,No,No,"$66,000 to $75,000","$96,000 to $105,000",Yes,2,No,No,Full-time,,36,12 hr - day shift,
13,Registered nurse,Washington and Colorado,Two,45-54,Male,Bachelor's Degree,2009,11 to 20 years,Yes,Acute care hospital,,Critical care,Critical care,,No,No,"$76,000 to $85,000","$76,000 to $85,000",No,0,No,No,Full-time,,48,12 hr -night shift,
6,Registered nurse,Colorado,One,25-34,Female,Bachelor's Degree,2016,6 to 10 years,Yes,Acute care hospital,,Critical care,Critical care,,Yes,No,"$55,000 to $65,000","$66,000 to $75,000",Yes,1,No,No,Full-time,,36,12 hr - day shift,
17,Registered nurse,Colorado,One,55-64,Female,Bachelor's Degree,2005,11 to 20 years,Yes,Acute care hospital,,Critical care,Critical care,,No,No,"$55,000 to $65,000","$96,000 to $105,000",No,0,No,No,Part-time,,30,12 hr -night shift,
25,Registered nurse,Virginia ,One,45-54,Female,Bachelor's Degree,1997,11 to 20 years,No,Other:Please write the facility type in the space provided below.,Informatics ,None acute care hospital unit,,,No,No,"$76,000 to $85,000","$96,000 to $105,000",Yes,2,No,No,Full-time,,40,8 hr - day shift,
3,Licensed practical nurse,Virginia ,One,25-34,Female,Diploma Nurse,2019,3 to 5 years,No,Outpatient clinical (primary care or specialty),,None acute care hospital unit,,,No,No,"Less than $55,000","Less than $55,000",No,0,No,No,Full-time,,43,8 hr - day shift,
9,Registered nurse,Colorado,One,25-34,Female,Bachelor's Degree,2013,6 to 10 years,Yes,Acute care hospital,,Critical care,Critical care,,No,No,"$66,000 to $75,000","$66,000 to $75,000",No,0,No,Maybe,Full-time,,36,12 hr - day shift,
6,Registered nurse,Colorado,One,35-44,Female,Bachelor's Degree,2016,11 to 20 years,Yes,Acute care hospital,,Critical care,Critical care,,No,No,"$66,000 to $75,000","$96,000 to $105,000",No,0,No,No,Full-time,,40,12 hr -night shift,
13,Registered nurse,Montana  Multistate compact license,Compact,45-54,Female,Master's Degree,2009,11 to 20 years,Yes,Acute care hospital,,Administrative,"Not in direct patient care (i.e. education, research, management/leadership, care management, informatics, etc.)",,No,No,"Greater than $105,000","Greater than $105,000",Yes,4,No,No,Full-time,,55,Other (please specify),Exempt ~10 hour days
18,Registered nurse,Colorado ,One,35-44,Female,Bachelor's Degree,2004,11 to 20 years,No,Other:Please write the facility type in the space provided below.,I’ve left the profession at this current time,None acute care hospital unit,,,No,No,"$96,000 to $105,000",,Yes,3,No,Maybe,Full-time,,30,8 hr - day shift,
3,Registered nurse,Colorado,One,25-34,Female,Bachelor's Degree,2019,3 to 5 years,Yes,Acute care hospital,,Surgical,Medical/surgical,,No,No,"Less than $55,000","$55,000 to $65,000",Yes,1,Maybe,No,Full-time,,36 to 48,12 hr -night shift,
14,Licensed practical nurse,Colorado  Wyoming,Two,25-34,Female,Associate Degree,2008,11 to 20 years,Yes,Acute care hospital,,Surgical,Medical/surgical,,No,No,"$55,000 to $65,000","$55,000 to $65,000",No,0,Maybe,No,Full-time,,44 to 56,12 hr - day shift,
10,Registered nurse,"Colorado, Texas",Two,25-34,Female,Bachelor's Degree,2012,6 to 10 years,Yes,Acute care hospital,,Surgical,Medical/surgical,,No,No,"$66,000 to $75,000","$66,000 to $75,000",No,0,No,No,Full-time,,,8 hr - night shift,
16,Registered nurse,Colorado,One,35-44,Female,Bachelor's Degree,2006,11 to 20 years,Yes,Acute care hospital,,Critical care,Critical care,,No,No,"$76,000 to $85,000","$76,000 to $85,000",No,0,Maybe,No,Full-time,,36,12 hr - day shift,
21,Nurse practitioner,"Colorado, Wyoming and Nebraska",Three,45-54,Female,Clinical Doctorate,2001,3 to 5 years,No,Outpatient clinical (primary care or specialty),,None acute care hospital unit,,,No,,"$96,000 to $105,000","$96,000 to $105,000",No,0,No,No,Full-time,,45 to 50,8 hr - day shift,
30,Registered nurse,Colorado,One,55-64,Female,Master's Degree,1992,21 to 30 years,No,Other:Please write the facility type in the space provided below.,University,None acute care hospital unit,,,No,No,"Greater than $105,000","Greater than $105,000",No,0,Maybe,,Full-time,,55+,8 hr - day shift,
